;;;;GOINFRA - Agància Goiana de Infraestrutura e Transportes;;;;;;;;;;;30/06/2023 - 10:04;;
;;;;;;;;;;;;;;;;;
;;;;Relat¢rio de Composiá∆o do Serviáo;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Tabela de preáos: TABELA DE CUSTOS DE OBRAS CIVIS - T210 - JUNHO/23 - SEM DESONERAÄ«O;;;;;;;;;;;;;;Data base: 01/06/2023;;;
Serviáo: 020100 - DEMOLIÄ«O MANUAL - COBERTURA TELHA METµLICA COM TRANSPORTE ATê CAÄAMBA E CARGA;;;;;;;;;;;;;;Unidade: m2    ;;;
;;;;;;;;;;;;;;;;;
C¢digo auxiliar;;;(B) M∆os-de-obra;;;Eq. Salarial;;Sal/Hora;;;Encargos(%);;Consumo;;;Custo Hor†rio;
0004 ;;;PEDREIRO;;;10,23;;22,30;;;117,99;;0,0225;;;0,50;
0005 ;;;SERVENTE;;;6,12;;13,34;;;117,99;;0,2250;;;3,00;
(B) Total: ;;;;;;;;;;;;;;3,50;;;
;;;;;;;;;;;;;;;;;
Custo direto total (A) + (B) + (C) + (D) + (E);;;;;;;;;;;;;;3,50;;;
BDI: 0,00%;;;;;;;;;;;;;;0,00;;;
Preáo unit†rio total;;;;;;;;;;;;;;3,50;;;
;;;;;;;;;;;;;;;;;
Tabela de preáos: TABELA DE CUSTOS DE OBRAS CIVIS - T210 - JUNHO/23 - SEM DESONERAÄ«O;;;;;;;;;;;;;;Data base: 01/06/2023;;;
Serviáo: 020101 - DEMOLIÄ«O MANUAL DE COBERTURA EM TELHA CERAMICA COM TRANSPORTE ATê CAÄAMBA E CARGA;;;;;;;;;;;;;;Unidade: m2    ;;;
;;;;;;;;;;;;;;;;;
C¢digo auxiliar;;;(B) M∆os-de-obra;;;Eq. Salarial;;Sal/Hora;;;Encargos(%);;Consumo;;;Custo Hor†rio;
0005 ;;;SERVENTE;;;6,12;;13,34;;;117,99;;0,3600;;;4,80;
0004 ;;;PEDREIRO;;;10,23;;22,30;;;117,99;;0,0360;;;0,80;
(B) Total: ;;;;;;;;;;;;;;5,60;;;
;;;;;;;;;;;;;;;;;
Custo direto total (A) + (B) + (C) + (D) + (E);;;;;;;;;;;;;;5,60;;;
BDI: 0,00%;;;;;;;;;;;;;;0,00;;;
Preáo unit†rio total;;;;;;;;;;;;;;5,60;;;
;;;;;;;;;;;;;;;;;
Tabela de preáos: TABELA DE CUSTOS DE OBRAS CIVIS - T210 - JUNHO/23 - SEM DESONERAÄ«O;;;;;;;;;;;;;;Data base: 01/06/2023;;;
